A_AA,A_AT,A_CA,A_GC,A_TC,A_TT,C_AC,C_GA,C_TT,G_AG,G_AT,G_CG,G_GA,G_GC,G_GG,G_TC,G_TT,T_AT,T_CC,T_GA,T_GC,T_GG,T_TT,k-tsallis12.3,k-tsallis22.3,k-tsallis32.3,k-tsallis42.3,k-tsallis52.3
-0.4993044247971477,-0.5246726583016313,-0.34646469715223704,-0.5174044829153196,-0.5728160473151205,-0.613723785827169,-0.4476086282189812,-0.4298577328925624,-0.4939786432388143,-0.45465919051014503,-0.5443495535103486,-0.2162794651673827,-0.33242522780029815,-0.4618806626484574,-0.4096442261568249,-0.47572421625068395,-0.5430321668566811,-0.46650212754115983,-0.5420120416434456,-0.4529388345943609,-0.27533293042298673,-0.5069824215427131,-0.6080210092102011,-2.3442790942067666,-1.4475091890193965,-0.99805965052196,-0.6952183608526131,-0.3597907031954674
-0.4993044247971477,-0.5246726583016313,-0.43097617935479204,-0.4554772878491784,-0.3743580981789526,-0.4904120782822182,-0.4476086282189812,-0.362770109839966,-0.4939786432388143,-0.45465919051014503,-0.4636708292251692,-0.4081376463147324,-0.4167293422513535,-0.4618806626484574,-0.4096442261568249,-0.37972110766195055,-0.4640438356939872,-0.5674057645203665,-0.45381681541592733,-0.5205171706247315,-0.5879269630781805,-0.44769818676554096,-0.34571773085670937,-0.6327331390267074,-0.5207502295235457,-1.381125448397525,-0.8196191141100166,-0.8609662936767342
-0.42785790348571373,-0.42648463453246854,-0.34646469715223704,-0.5174044829153196,-0.47358707274703654,-0.613723785827169,-0.5731378387832584,-0.362770109839966,-0.3690076326876054,-0.45465919051014503,-0.5443495535103486,-0.34418491926561584,-0.33242522780029815,-0.3206101318462144,-0.4543794324442439,-0.5717273248394174,-0.5430321668566811,-0.5674057645203665,-0.45381681541592733,-0.5205171706247315,-0.5879269630781805,-0.44769818676554096,-0.6080210092102011,-0.10868449426107307,0.28825705509038135,0.10004610206739434,-0.2102811027817852,-0.4657127891555418
-0.42785790348571373,-0.42648463453246854,-0.515487661557347,-0.4554772878491784,-0.47358707274703654,-0.36710037073726737,-0.4476086282189812,-0.4969453559451589,-0.6189496537900232,-0.45465919051014503,-0.4636708292251692,-0.5360431004129655,-0.45888139947688117,-0.5325159280495789,-0.4543794324442439,-0.47572421625068395,-0.3060671733685994,-0.46650212754115983,-0.5420120416434456,-0.38536049856399035,-0.5879269630781805,-0.44769818676554096,-0.08341445250321768,-0.17495412227753956,-0.9267724468722414,-1.9611563123382325,-1.9798924621039664,-1.705517540180382
-0.42785790348571373,-0.23010858699414283,-0.43097617935479204,-0.3935500927830373,-0.5728160473151205,-0.36710037073726737,-0.5731378387832584,-0.4298577328925624,-0.6189496537900232,-0.45465919051014503,-0.38299210493998975,-0.47209037336384896,-0.4167293422513535,-0.5325159280495789,-0.49911463873166284,-0.5717273248394174,-0.5430321668566811,-0.46650212754115983,-0.45381681541592733,-0.38536049856399035,-0.5879269630781805,-0.5069824215427131,-0.21456609167996352,0.8306058212439706,0.09164441997528479,-0.47691161266201243,-1.2797903707194478,-1.3509998101090224
-0.4993044247971477,-0.42648463453246854,-0.515487661557347,-0.4554772878491784,-0.5728160473151205,-0.613723785827169,-0.5731378387832584,-0.4298577328925624,-0.3690076326876054,-0.45465919051014503,-0.5443495535103486,-0.4081376463147324,-0.45888139947688117,-0.4618806626484574,-0.49911463873166284,-0.47572421625068395,-0.2270788422059055,-0.46650212754115983,-0.3656215891884091,-0.31778216253361985,-0.5879269630781805,-0.5069824215427131,0.17888882585027402,-1.8322612787472379,-3.083602939113821,-4.257332091375058,-3.43019425548368,-2.4603952770603557
-0.4993044247971477,-0.42648463453246854,-0.515487661557347,-0.4554772878491784,-0.5728160473151205,-0.36710037073726737,-0.4476086282189812,-0.4298577328925624,-0.4939786432388143,-0.45465919051014503,-0.4636708292251692,-0.5360431004129655,-0.4167293422513535,-0.4618806626484574,-0.4543794324442439,-0.47572421625068395,-0.3850555045312933,-0.46650212754115983,-0.3656215891884091,-0.38536049856399035,-0.4837289521931159,-0.5069824215427131,-0.08341445250321768,-0.37325261647893543,-0.929810171857778,-1.697736007777054,-2.539205492547379,-2.741688643244023
-0.42785790348571373,-0.5246726583016313,-0.515487661557347,-0.3935500927830373,-0.47358707274703654,-0.4904120782822182,-0.5731378387832584,-0.4298577328925624,-0.6189496537900232,-0.45465919051014503,-0.38299210493998975,-0.5360431004129655,-0.3745772850258258,-0.5325159280495789,-0.4543794324442439,-0.5717273248394174,-0.3850555045312933,-0.46650212754115983,-0.45381681541592733,-0.31778216253361985,-0.4837289521931159,-0.44769818676554096,-0.21456609167996352,0.37703102329684923,-1.0672042656029197,-2.0931649201390408,-2.4952588729201812,-2.2944204666888663
-0.4993044247971477,-0.42648463453246854,-0.515487661557347,-0.3935500927830373,-0.47358707274703654,-0.613723785827169,-0.3220794176547038,-0.4298577328925624,-0.4939786432388143,-0.45465919051014503,-0.5443495535103486,-0.47209037336384896,-0.45888139947688117,-0.4618806626484574,-0.4543794324442439,-0.5717273248394174,-0.4640438356939872,-0.46650212754115983,-0.5420120416434456,-0.4529388345943609,-0.4837289521931159,-0.44769818676554096,-0.08341445250321768,0.6418957819477086,-0.17380004582016,-2.019064725003604,-2.8068035576984802,-2.7780830509655927
0.0008212243828900208,0.4572075793899971,0.3296271604682031,-0.4554772878491784,0.3202447237976348,-0.12047695564736573,0.18003742460240535,-0.22859486373477308,0.005905398966021323,-0.45465919051014503,0.10108024077108692,-0.28023219221649925,-0.2059690561237151,-0.39124539724733587,-0.36490901986940594,-0.37972110766195055,0.009886151282176214,0.0380160573548735,0.7809163517693283,-0.31778216253361985,-0.17113491953792215,0.02657569145183581,0.04773718667352818,0.6013545920192889,0.2406867666788664,0.5985631104060167,0.9161917061952591,1.1543055043482358
